id,nome,email,lat,lon,preferencias
1,Usuário 1,usuario1@exemplo.com,-15.875275928691583,-47.62957141615405,"{'distancia_maxima': 10, 'apenas_organicos': True, 'produtos_favoritos': ['Agrião', 'Cenoura', 'Pepino', 'Morango', 'Couve'], 'associacoes_favoritas': []}"
2,Usuário 2,usuario2@exemplo.com,-15.660803634913158,-47.840804909481776,"{'distancia_maxima': 30, 'apenas_organicos': False, 'produtos_favoritos': [], 'associacoes_favoritas': []}"
3,Usuário 3,usuario3@exemplo.com,-16.00638881573454,-48.10640328779828,"{'distancia_maxima': 10, 'apenas_organicos': False, 'produtos_favoritos': ['Coco'], 'associacoes_favoritas': []}"
4,Usuário 4,usuario4@exemplo.com,-16.06514983269908,-47.68029431253504,"{'distancia_maxima': 30, 'apenas_organicos': False, 'produtos_favoritos': ['Mamão', 'Manga', 'Pepino', 'Uva', 'Agrião'], 'associacoes_favoritas': []}"
5,Usuário 5,usuario5@exemplo.com,-15.739330992954075,-47.775156453322374,"{'distancia_maxima': 15, 'apenas_organicos': False, 'produtos_favoritos': ['Agrião', 'Pimentão'], 'associacoes_favoritas': ['CooperHorti']}"
6,Usuário 6,usuario6@exemplo.com,-16.08764930342252,-47.6180540887028,"{'distancia_maxima': 10, 'apenas_organicos': True, 'produtos_favoritos': ['Couve', 'Banana', 'Quiabo'], 'associacoes_favoritas': []}"
7,Usuário 7,usuario7@exemplo.com,-15.600534415519748,-48.072596533593035,"{'distancia_maxima': 25, 'apenas_organicos': True, 'produtos_favoritos': ['Cebola', 'Jiló', 'Limão'], 'associacoes_favoritas': ['Amista']}"
8,Usuário 8,usuario8@exemplo.com,-15.99090501967574,-48.08995729408794,"{'distancia_maxima': 10, 'apenas_organicos': False, 'produtos_favoritos': ['Cebola', 'Pepino'], 'associacoes_favoritas': []}"
9,Usuário 9,usuario9@exemplo.com,-15.917454654224278,-47.885146141020655,"{'distancia_maxima': 25, 'apenas_organicos': False, 'produtos_favoritos': ['Limão', 'Brócolis', 'Banana'], 'associacoes_favoritas': ['Astraf']}"
10,Usuário 10,usuario10@exemplo.com,-15.840832988814732,-48.025262515881174,"{'distancia_maxima': 10, 'apenas_organicos': False, 'produtos_favoritos': ['Cenoura', 'Brócolis', 'Atemóia', 'Tangerina'], 'associacoes_favoritas': ['Aspronfe', 'CooperHorti']}"
11,Usuário 11,usuario11@exemplo.com,-15.732888263166574,-48.11630368360878,"{'distancia_maxima': 10, 'apenas_organicos': False, 'produtos_favoritos': [], 'associacoes_favoritas': ['Coopebraz', 'Astraf']}"
12,Usuário 12,usuario12@exemplo.com,-15.92471321087887,-47.980182894023784,"{'distancia_maxima': 10, 'apenas_organicos': False, 'produtos_favoritos': ['Abacate', 'Beterraba', 'Graviola', 'Maracujá'], 'associacoes_favoritas': ['Aspagl', 'Astraf', 'Amista']}"
13,Usuário 13,usuario13@exemplo.com,-15.826358009469779,-47.72889442316419,"{'distancia_maxima': 15, 'apenas_organicos': False, 'produtos_favoritos': ['Lichia', 'Maracujá', 'Limão', 'Pepino', 'Morango'], 'associacoes_favoritas': ['Amista', 'Agrifarm', 'Coomermista']}"
14,Usuário 14,usuario14@exemplo.com,-15.980195730704985,-47.89145933695183,"{'distancia_maxima': 10, 'apenas_organicos': False, 'produtos_favoritos': ['Brócolis', 'Lichia', 'Batata', 'Tangerina', 'Atemóia'], 'associacoes_favoritas': ['Afeca', 'Aspaf']}"
15,Usuário 15,usuario15@exemplo.com,-15.744551258682776,-48.172129752368,"{'distancia_maxima': 30, 'apenas_organicos': False, 'produtos_favoritos': ['Goiaba', 'Chuchu', 'Jiló', 'Lichia', 'Brócolis'], 'associacoes_favoritas': ['Afeca', 'Astraf', 'Cootaquara']}"
16,Usuário 16,usuario16@exemplo.com,-15.735473088859138,-48.097685525787625,"{'distancia_maxima': 15, 'apenas_organicos': True, 'produtos_favoritos': ['Gengibre', 'Coco', 'Berinjela', 'Pimentão', 'Limão'], 'associacoes_favoritas': ['Cooperbrasília']}"
17,Usuário 17,usuario17@exemplo.com,-16.060969044208832,-47.630668677647996,"{'distancia_maxima': 10, 'apenas_organicos': False, 'produtos_favoritos': ['Mandioca', 'Chuchu', 'Limão'], 'associacoes_favoritas': ['Aspronfe', 'Agrifarm']}"
18,Usuário 18,usuario18@exemplo.com,-15.520620780155266,-47.71496159113012,"{'distancia_maxima': 15, 'apenas_organicos': True, 'produtos_favoritos': [], 'associacoes_favoritas': ['Amista', 'Aspagl', 'Cooperbrasília']}"
19,Usuário 19,usuario19@exemplo.com,-15.917231738495978,-48.14139673159617,"{'distancia_maxima': 25, 'apenas_organicos': False, 'produtos_favoritos': ['Pitaia', 'Lichia'], 'associacoes_favoritas': ['Asproc']}"
20,Usuário 20,usuario20@exemplo.com,-15.689460184092706,-47.93590850375624,"{'distancia_maxima': 20, 'apenas_organicos': False, 'produtos_favoritos': ['Limão', 'Uva', 'Pitaia', 'Chuchu', 'Cenoura'], 'associacoes_favoritas': ['Amista']}"
21,Usuário 21,usuario21@exemplo.com,-16.026777059093135,-47.902893853933236,"{'distancia_maxima': 20, 'apenas_organicos': True, 'produtos_favoritos': ['Pepino', 'Alface', 'Batata', 'Repolho'], 'associacoes_favoritas': ['Amista']}"
22,Usuário 22,usuario22@exemplo.com,-16.07936688733087,-47.65440775875273,"{'distancia_maxima': 10, 'apenas_organicos': False, 'produtos_favoritos': [], 'associacoes_favoritas': ['Astraf']}"
23,Usuário 23,usuario23@exemplo.com,-15.94473201103999,-47.80248662938761,"{'distancia_maxima': 25, 'apenas_organicos': False, 'produtos_favoritos': ['Morango', 'Cajamanga', 'Cenoura', 'Manga'], 'associacoes_favoritas': ['Aspaf']}"
24,Usuário 24,usuario24@exemplo.com,-15.912973354346354,-47.88795918729331,"{'distancia_maxima': 10, 'apenas_organicos': False, 'produtos_favoritos': ['Lichia', 'Manga'], 'associacoes_favoritas': ['Agrifarm', 'Aspaf', 'Afeca']}"
25,Usuário 25,usuario25@exemplo.com,-15.771973832394034,-48.089087326684684,"{'distancia_maxima': 25, 'apenas_organicos': False, 'produtos_favoritos': [], 'associacoes_favoritas': ['Asproc']}"
26,Usuário 26,usuario26@exemplo.com,-15.518249223341266,-47.73492030598333,"{'distancia_maxima': 15, 'apenas_organicos': False, 'produtos_favoritos': ['Lichia'], 'associacoes_favoritas': ['Astraf']}"
27,Usuário 27,usuario27@exemplo.com,-15.536300635061487,-47.66310358974341,"{'distancia_maxima': 25, 'apenas_organicos': False, 'produtos_favoritos': [], 'associacoes_favoritas': ['Aspaf', 'Agrifarm', 'CooperHorti']}"
28,Usuário 28,usuario28@exemplo.com,-15.741260012713349,-47.64687545898613,"{'distancia_maxima': 30, 'apenas_organicos': True, 'produtos_favoritos': [], 'associacoes_favoritas': ['Asphor']}"
29,Usuário 29,usuario29@exemplo.com,-16.04690449876885,-48.08241028254851,"{'distancia_maxima': 25, 'apenas_organicos': False, 'produtos_favoritos': ['Beterraba', 'Maracujá', 'Repolho'], 'associacoes_favoritas': ['Coopebraz']}"
30,Usuário 30,usuario30@exemplo.com,-16.072863626653678,-48.00480180154204,"{'distancia_maxima': 10, 'apenas_organicos': False, 'produtos_favoritos': ['Atemóia', 'Jiló'], 'associacoes_favoritas': ['Cootaquara', 'Aspagl', 'Aspaf']}"
31,Usuário 31,usuario31@exemplo.com,-15.866793626186311,-48.03719058093566,"{'distancia_maxima': 20, 'apenas_organicos': False, 'produtos_favoritos': [], 'associacoes_favoritas': []}"
32,Usuário 32,usuario32@exemplo.com,-15.602757494508843,-47.98594800398384,"{'distancia_maxima': 20, 'apenas_organicos': True, 'produtos_favoritos': [], 'associacoes_favoritas': ['Cooperbrasília', 'Asphor', 'Afeca']}"
33,Usuário 33,usuario33@exemplo.com,-15.931439294187573,-47.87438235010505,"{'distancia_maxima': 30, 'apenas_organicos': True, 'produtos_favoritos': ['Batata'], 'associacoes_favoritas': []}"
34,Usuário 34,usuario34@exemplo.com,-16.015445465015144,-47.718681811547576,"{'distancia_maxima': 15, 'apenas_organicos': False, 'produtos_favoritos': [], 'associacoes_favoritas': ['Agrifarm']}"
